SiteID,470548,Site Timezone,8,Data Timezone,8,Longitude,121.28936,Latitude,14.181038
Year,Month,Day,Hour,Minute,surface air pressure (Pa),wind speed at 10m (m/s)
2019,1,1,0,0,100930,1.69
2019,1,1,0,15,100920,1.74
2019,1,1,0,30,100900,1.53
2019,1,1,0,45,100890,1.3
2019,1,1,1,0,100880,1.45
2019,1,1,1,15,100870,1.6600000000000001
2019,1,1,1,30,100860,1.87
2019,1,1,1,45,100860,1.72
2019,1,1,2,0,100850,1.72
2019,1,1,2,15,100840,1.76
2019,1,1,2,30,100840,1.71
2019,1,1,2,45,100840,2.21
2019,1,1,3,0,100830,2.49
2019,1,1,3,15,100830,2.61
2019,1,1,3,30,100830,2.54
2019,1,1,3,45,100830,2.64
2019,1,1,4,0,100830,2.62
2019,1,1,4,15,100840,2.5500000000000003
2019,1,1,4,30,100850,2.39
2019,1,1,4,45,100860,2.33
2019,1,1,5,0,100880,2.33
2019,1,1,5,15,100890,2.23
2019,1,1,5,30,100900,2.09
2019,1,1,5,45,100910,1.94
2019,1,1,6,0,100930,1.8800000000000001
2019,1,1,6,15,100940,2.08
2019,1,1,6,30,100960,2.27
2019,1,1,6,45,100970,2.33
2019,1,1,7,0,100980,2.3000000000000003
2019,1,1,7,15,100970,2.33
2019,1,1,7,30,100960,2.13
2019,1,1,7,45,100940,2.18
2019,1,1,8,0,100970,3.6
2019,1,1,8,15,100980,3.79
2019,1,1,8,30,100990,4.1
2019,1,1,8,45,101000,4.63
2019,1,1,9,0,101010,4.97
2019,1,1,9,15,101010,5.23
2019,1,1,9,30,101010,5.5600000000000005
2019,1,1,9,45,101000,5.67
2019,1,1,10,0,101000,5.7700000000000005
2019,1,1,10,15,100990,5.89
2019,1,1,10,30,100980,5.96
2019,1,1,10,45,100970,6.21
2019,1,1,11,0,100950,6.25
2019,1,1,11,15,100930,6.41
2019,1,1,11,30,100910,6.37
2019,1,1,11,45,100890,6.46
2019,1,1,12,0,100870,6.55
2019,1,1,12,15,100850,6.58
2019,1,1,12,30,100830,6.61
2019,1,1,12,45,100800,6.73
2019,1,1,13,0,100780,6.69
2019,1,1,13,15,100770,6.74
2019,1,1,13,30,100760,6.69
2019,1,1,13,45,100740,6.67
2019,1,1,14,0,100730,6.63
2019,1,1,14,15,100720,6.62
2019,1,1,14,30,100710,6.53
2019,1,1,14,45,100710,6.53
2019,1,1,15,0,100700,6.45
2019,1,1,15,15,100720,6.34
2019,1,1,15,30,100730,6.05
2019,1,1,15,45,100750,5.88
2019,1,1,16,0,100760,5.59
2019,1,1,16,15,100770,5.34
2019,1,1,16,30,100770,4.99
2019,1,1,16,45,100780,4.75
2019,1,1,17,0,100780,4.54
2019,1,1,17,15,100800,4.44
2019,1,1,17,30,100810,4.37
2019,1,1,17,45,100830,4.16
2019,1,1,18,0,100840,3.8200000000000003
2019,1,1,18,15,100850,3.68
2019,1,1,18,30,100850,3.45
2019,1,1,18,45,100860,3.11
2019,1,1,19,0,100870,2.97
2019,1,1,19,15,100880,2.89
2019,1,1,19,30,100890,2.89
2019,1,1,19,45,100900,2.89
2019,1,1,20,0,100910,2.7800000000000002
2019,1,1,20,15,100920,2.81
2019,1,1,20,30,100920,2.85
2019,1,1,20,45,100930,2.84
2019,1,1,21,0,100940,2.75
2019,1,1,21,15,100940,2.77
2019,1,1,21,30,100940,2.77
2019,1,1,21,45,100940,2.85
2019,1,1,22,0,100950,2.85
2019,1,1,22,15,100930,2.8000000000000003
2019,1,1,22,30,100920,2.63
2019,1,1,22,45,100910,2.59
2019,1,1,23,0,100900,2.42
2019,1,1,23,15,100900,2.34
2019,1,1,23,30,100900,2.2800000000000002
2019,1,1,23,45,100910,2.13
2019,1,2,0,0,100910,2.13
2019,1,2,0,15,100910,2.12
2019,1,2,0,30,100900,2.1
2019,1,2,0,45,100890,2.2800000000000002
2019,1,2,1,0,100890,2.36
2019,1,2,1,15,100870,2.34
2019,1,2,1,30,100850,2.33
2019,1,2,1,45,100840,2.32
2019,1,2,2,0,100820,2.41
2019,1,2,2,15,100820,2.45
2019,1,2,2,30,100810,2.48
2019,1,2,2,45,100810,2.42
2019,1,2,3,0,100810,2.42
2019,1,2,3,15,100810,2.43
2019,1,2,3,30,100820,2.36
2019,1,2,3,45,100830,2.32
2019,1,2,4,0,100830,2.31
2019,1,2,4,15,100840,2.2800000000000002
2019,1,2,4,30,100840,2.2800000000000002
2019,1,2,4,45,100840,2.2
2019,1,2,5,0,100850,2.17
2019,1,2,5,15,100860,2.06
2019,1,2,5,30,100880,1.98
2019,1,2,5,45,100890,1.95
2019,1,2,6,0,100910,1.8800000000000001
2019,1,2,6,15,100930,1.71
2019,1,2,6,30,100960,1.74
2019,1,2,6,45,100980,1.68
2019,1,2,7,0,101010,1.94
2019,1,2,7,15,101020,2.17
2019,1,2,7,30,101040,2.56
2019,1,2,7,45,101050,3
2019,1,2,8,0,101070,3.58
2019,1,2,8,15,101070,3.9
2019,1,2,8,30,101080,4.39
2019,1,2,8,45,101080,4.91
2019,1,2,9,0,101090,5.07
2019,1,2,9,15,101080,5.41
2019,1,2,9,30,101070,5.44
2019,1,2,9,45,101060,5.58
2019,1,2,10,0,101050,5.64
2019,1,2,10,15,101030,5.7
2019,1,2,10,30,101020,5.78
2019,1,2,10,45,101000,5.96
2019,1,2,11,0,100990,6.18
2019,1,2,11,15,100970,6.4
2019,1,2,11,30,100960,6.6000000000000005
2019,1,2,11,45,100940,6.73
2019,1,2,12,0,100920,6.78
2019,1,2,12,15,100900,6.9
2019,1,2,12,30,100880,6.83
2019,1,2,12,45,100860,6.890000000000001
2019,1,2,13,0,100840,6.8500000000000005
2019,1,2,13,15,100820,6.91
2019,1,2,13,30,100810,6.84
2019,1,2,13,45,100790,6.9
2019,1,2,14,0,100780,6.83
2019,1,2,14,15,100780,6.82
2019,1,2,14,30,100780,6.5600000000000005
2019,1,2,14,45,100780,6.45
2019,1,2,15,0,100780,6.04
2019,1,2,15,15,100790,5.82
2019,1,2,15,30,100790,5.46
2019,1,2,15,45,100800,5.14
2019,1,2,16,0,100800,4.79
2019,1,2,16,15,100810,4.44
2019,1,2,16,30,100820,4.17
2019,1,2,16,45,100830,4.2
2019,1,2,17,0,100840,4.07
2019,1,2,17,15,100860,3.84
2019,1,2,17,30,100870,3.9
2019,1,2,17,45,100880,3.94
2019,1,2,18,0,100900,3.85
2019,1,2,18,15,100910,3.72
2019,1,2,18,30,100930,3.7
2019,1,2,18,45,100940,3.64
2019,1,2,19,0,100960,3.63
2019,1,2,19,15,100970,3.66
2019,1,2,19,30,100980,3.66
2019,1,2,19,45,100990,3.68
2019,1,2,20,0,101000,3.52
2019,1,2,20,15,101010,3.24
2019,1,2,20,30,101010,2.99
2019,1,2,20,45,101020,2.74
2019,1,2,21,0,101020,2.49
2019,1,2,21,15,101020,2.2
2019,1,2,21,30,101020,1.93
2019,1,2,21,45,101020,1.8800000000000001
2019,1,2,22,0,101030,1.6
2019,1,2,22,15,101020,1.43
2019,1,2,22,30,101010,1.4000000000000001
2019,1,2,22,45,101000,1.3
2019,1,2,23,0,100990,1.27
2019,1,2,23,15,100990,1.09
2019,1,2,23,30,100990,1.08
2019,1,2,23,45,100990,1.3800000000000001
2019,1,3,0,0,100990,1.43
2019,1,3,0,15,100990,1.68
2019,1,3,0,30,100990,1.9000000000000001
2019,1,3,0,45,100990,2.04
2019,1,3,1,0,100990,2.59
2019,1,3,1,15,100990,2.73
2019,1,3,1,30,100980,2.79
2019,1,3,1,45,100970,2.91
2019,1,3,2,0,100970,2.93
2019,1,3,2,15,100960,2.85
2019,1,3,2,30,100950,2.79
2019,1,3,2,45,100950,2.85
2019,1,3,3,0,100940,2.93
2019,1,3,3,15,100940,3.09
2019,1,3,3,30,100950,3.0100000000000002
2019,1,3,3,45,100950,2.95
2019,1,3,4,0,100960,2.73
2019,1,3,4,15,100960,2.6
2019,1,3,4,30,100960,2.47
2019,1,3,4,45,100960,2.34
2019,1,3,5,0,100970,2.08
2019,1,3,5,15,100980,1.95
2019,1,3,5,30,101000,1.92
2019,1,3,5,45,101020,1.95
2019,1,3,6,0,101040,1.97
2019,1,3,6,15,101050,1.84
2019,1,3,6,30,101070,1.69
2019,1,3,6,45,101090,1.48
2019,1,3,7,0,101100,1.6
2019,1,3,7,15,101120,1.9100000000000001
2019,1,3,7,30,101130,2.44
2019,1,3,7,45,101140,3.12
2019,1,3,8,0,101150,3.85
2019,1,3,8,15,101170,4.2
2019,1,3,8,30,101180,4.47
2019,1,3,8,45,101200,4.69
2019,1,3,9,0,101210,4.55
2019,1,3,9,15,101210,4.55
2019,1,3,9,30,101200,4.45
2019,1,3,9,45,101190,4.59
2019,1,3,10,0,101180,4.74
2019,1,3,10,15,101160,4.99
2019,1,3,10,30,101150,5.07
2019,1,3,10,45,101130,5.1000000000000005
2019,1,3,11,0,101110,5.03
2019,1,3,11,15,101110,5.07
2019,1,3,11,30,101100,5.07
2019,1,3,11,45,101090,5.07
2019,1,3,12,0,101090,5.03
2019,1,3,12,15,101060,5.21
2019,1,3,12,30,101030,5.32
2019,1,3,12,45,101000,5.32
2019,1,3,13,0,100970,5.36
2019,1,3,13,15,100960,5.49
2019,1,3,13,30,100950,5.48
2019,1,3,13,45,100940,5.43
2019,1,3,14,0,100930,5.6000000000000005
