SiteID,470548,Site Timezone,8,Data Timezone,8,Longitude,121.28936,Latitude,14.181038
Year,Month,Day,Hour,Minute,surface air pressure (Pa),wind speed at 10m (m/s)
2021,1,1,0,0,100930,3.98
2021,1,1,0,15,100930,3.81
2021,1,1,0,30,100920,3.58
2021,1,1,0,45,100910,3.54
2021,1,1,1,0,100910,3.4
2021,1,1,1,15,100890,3.27
2021,1,1,1,30,100870,3.23
2021,1,1,1,45,100850,3.1
2021,1,1,2,0,100830,3.16
2021,1,1,2,15,100830,3.34
2021,1,1,2,30,100820,3.31
2021,1,1,2,45,100820,3.22
2021,1,1,3,0,100810,3.24
2021,1,1,3,15,100810,3.22
2021,1,1,3,30,100810,3.08
2021,1,1,3,45,100810,3.13
2021,1,1,4,0,100810,3.12
2021,1,1,4,15,100810,3.04
2021,1,1,4,30,100820,3.12
2021,1,1,4,45,100830,3.3000000000000003
2021,1,1,5,0,100830,3.42
2021,1,1,5,15,100840,3.52
2021,1,1,5,30,100850,3.7600000000000002
2021,1,1,5,45,100870,3.61
2021,1,1,6,0,100880,3.7600000000000002
2021,1,1,6,15,100900,3.94
2021,1,1,6,30,100930,3.96
2021,1,1,6,45,100950,4.29
2021,1,1,7,0,100970,4.2700000000000005
2021,1,1,7,15,100950,4.41
2021,1,1,7,30,100930,4.41
2021,1,1,7,45,100900,4.16
2021,1,1,8,0,100700,3.08
2021,1,1,8,15,100710,3.13
2021,1,1,8,30,100720,3.29
2021,1,1,8,45,100720,3.2600000000000002
2021,1,1,9,0,100730,3.5500000000000003
2021,1,1,9,15,100740,3.58
2021,1,1,9,30,100750,3.66
2021,1,1,9,45,100760,3.68
2021,1,1,10,0,100770,3.5500000000000003
2021,1,1,10,15,100760,3.47
2021,1,1,10,30,100750,3.36
2021,1,1,10,45,100740,3.14
2021,1,1,11,0,100730,3.09
2021,1,1,11,15,100720,3.29
2021,1,1,11,30,100700,3.35
2021,1,1,11,45,100690,3.15
2021,1,1,12,0,100680,3.18
2021,1,1,12,15,100650,2.88
2021,1,1,12,30,100630,2.87
2021,1,1,12,45,100610,2.9
2021,1,1,13,0,100580,3.16
2021,1,1,13,15,100570,3.2
2021,1,1,13,30,100550,3.49
2021,1,1,13,45,100530,4.21
2021,1,1,14,0,100520,4.45
2021,1,1,14,15,100510,4.64
2021,1,1,14,30,100510,4.65
2021,1,1,14,45,100510,4.23
2021,1,1,15,0,100510,4.01
2021,1,1,15,15,100500,3.62
2021,1,1,15,30,100500,3.22
2021,1,1,15,45,100500,3.0300000000000002
2021,1,1,16,0,100500,2.85
2021,1,1,16,15,100510,2.6
2021,1,1,16,30,100530,2.38
2021,1,1,16,45,100540,2.19
2021,1,1,17,0,100560,2.07
2021,1,1,17,15,100570,2
2021,1,1,17,30,100580,1.83
2021,1,1,17,45,100600,1.6600000000000001
2021,1,1,18,0,100610,1.56
2021,1,1,18,15,100620,1.56
2021,1,1,18,30,100630,1.55
2021,1,1,18,45,100640,1.62
2021,1,1,19,0,100650,1.67
2021,1,1,19,15,100670,1.75
2021,1,1,19,30,100680,1.96
2021,1,1,19,45,100700,2.0100000000000002
2021,1,1,20,0,100710,2.08
2021,1,1,20,15,100720,2.06
2021,1,1,20,30,100740,1.97
2021,1,1,20,45,100750,2.12
2021,1,1,21,0,100760,2.27
2021,1,1,21,15,100750,2.4
2021,1,1,21,30,100750,2.49
2021,1,1,21,45,100740,2.41
2021,1,1,22,0,100740,2.34
2021,1,1,22,15,100720,2.31
2021,1,1,22,30,100710,2.41
2021,1,1,22,45,100690,2.41
2021,1,1,23,0,100680,2.45
2021,1,1,23,15,100680,2.15
2021,1,1,23,30,100670,2.08
2021,1,1,23,45,100670,1.96
2021,1,2,0,0,100670,2.11
2021,1,2,0,15,100650,2.34
2021,1,2,0,30,100640,2.57
2021,1,2,0,45,100630,2.7800000000000002
2021,1,2,1,0,100620,2.93
2021,1,2,1,15,100610,3.06
2021,1,2,1,30,100600,2.99
2021,1,2,1,45,100590,2.95
2021,1,2,2,0,100580,2.87
2021,1,2,2,15,100570,2.94
2021,1,2,2,30,100560,2.96
2021,1,2,2,45,100550,3.02
2021,1,2,3,0,100540,2.97
2021,1,2,3,15,100540,2.9
2021,1,2,3,30,100540,2.93
2021,1,2,3,45,100540,2.97
2021,1,2,4,0,100540,2.93
2021,1,2,4,15,100540,2.85
2021,1,2,4,30,100540,2.79
2021,1,2,4,45,100550,2.63
2021,1,2,5,0,100550,2.67
2021,1,2,5,15,100560,2.61
2021,1,2,5,30,100580,2.63
2021,1,2,5,45,100590,2.47
2021,1,2,6,0,100610,2.41
2021,1,2,6,15,100620,2.11
2021,1,2,6,30,100630,1.95
2021,1,2,6,45,100640,1.75
2021,1,2,7,0,100650,1.76
2021,1,2,7,15,100650,1.84
2021,1,2,7,30,100660,2.35
2021,1,2,7,45,100660,2.69
2021,1,2,8,0,100660,3.0100000000000002
2021,1,2,8,15,100670,2.98
2021,1,2,8,30,100680,3.12
2021,1,2,8,45,100690,4.5
2021,1,2,9,0,100700,6.03
2021,1,2,9,15,100710,6.59
2021,1,2,9,30,100710,6.53
2021,1,2,9,45,100720,6.45
2021,1,2,10,0,100730,6.51
2021,1,2,10,15,100710,6.37
2021,1,2,10,30,100700,6.32
2021,1,2,10,45,100690,6.45
2021,1,2,11,0,100670,6.6000000000000005
2021,1,2,11,15,100660,6.72
2021,1,2,11,30,100650,6.8500000000000005
2021,1,2,11,45,100640,6.69
2021,1,2,12,0,100620,6.640000000000001
2021,1,2,12,15,100600,6.59
2021,1,2,12,30,100580,6.57
2021,1,2,12,45,100550,6.5600000000000005
2021,1,2,13,0,100530,6.57
2021,1,2,13,15,100510,6.61
2021,1,2,13,30,100490,6.54
2021,1,2,13,45,100470,6.41
2021,1,2,14,0,100450,6.45
2021,1,2,14,15,100450,6.41
2021,1,2,14,30,100450,6.4
2021,1,2,14,45,100450,6.37
2021,1,2,15,0,100450,6.43
2021,1,2,15,15,100450,6.3500000000000005
2021,1,2,15,30,100450,6.140000000000001
2021,1,2,15,45,100460,6.12
2021,1,2,16,0,100460,6.01
2021,1,2,16,15,100480,5.8
2021,1,2,16,30,100490,5.36
2021,1,2,16,45,100510,4.78
